,subject,level,question,maximum_marks,suggested_answer,instructions,students_response,expected_marks
1,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
2,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
3,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
4,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
5,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
6,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
7,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
8,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
9,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
10,English Language,Primary 5,Why did the mum say this?,4,"(1m): The new clothes are not really new.
 (1m): The clothes were passed to the mum by her sisters.
 (1m): The clothes have never been worn.
 (1m): She had been waiting for the clothes for a while.", ,The clothes were not really new though they have never been worn; they were passed on by the mum's sisters and she had been waiting for them for a while.,4
11,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
12,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
13,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
14,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
15,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
16,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
17,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
18,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
19,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
20,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, and soil",2
21,Science,Primary 2,What do plants need to grow?,4,"(1m): [sunlight]
 (1m): [water]
 (1m): [air]
 (1m): [nutrients] from the soil", ,"Sunlight, water, air and nutrients from the soil",4
