s/n,condition,subject,level,question,maximum_marks,suggested_answer,instructions,students_response,expected_marks
1,Missing keyword v1,Physics,Secondary 3,Explain how the circuit breaker breaks the circuit.,3,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm.  (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"The current flowing through the coil turns it into an electromagnet, which exerts a force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",1
2,Missing keyword v2: MOESLSOPS-10551,Chemistry,Secondary 3,Define relative atomic mass,2,(1 mark): Relative atomic mass is the average mass of an [atom] of element\n(1 mark): as ratio / compared to [1/12] of the mass of a [carbon-12 atom]., ,Relative atomic mass is the average mass of an element.,0
3,Missing keyword v3 (no CM tag): MOESLSOPS-10551, , ,Define relative atomic mass,2,(1 mark): Relative atomic mass is the average mass of an [atom] of element\n(1 mark): as ratio / compared to [1/12] of the mass of a [carbon-12 atom]., ,Relative atomic mass is the average mass of an element.,0
4,Missing keyword v4 (reformatted SA): MOESLSOPS-10551, , ,Define relative atomic mass,2,(1 mark): Relative atomic mass is the average mass of an [atom] of an element\n(1 mark): compared to [1/12] of the mass of a [carbon-12 atom]., ,Relative atomic mass is the average mass of an element.,0
5,Alternative keyword v1,Physics,Secondary 3,Explain how the circuit breaker breaks the circuit.,3,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm.  (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"The current flowing through the coil turns it into an electromagnet, which exerts an attracting force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",2
6,Alternative keyword v2,Physics,Secondary 3,Explain how the circuit breaker breaks the circuit.,3,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward/attracting/pulling] force on the iron arm.  (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"The current flowing through the coil turns it into an electromagnet, which exerts an attracting force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",2
7,Wrong keyword,Physics,Secondary 3,Explain how the circuit breaker breaks the circuit.,3,"(1 mark): The current flowing through the coil causes it to become an electromagnet, which exerts a [downward] / [attracting] / [pulling] force on the iron arm.  (1 mark): The magnetic force becomes greater as the current flowing through the coil increases. (1 mark): When the current increases beyond 30 A, the force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.", ,"The current flowing through the coil turns it into an electromagnet, which exerts a magnetic force on the iron arm. The force becomes great enough to separate the lower contact from the upper contact, thereby breaking the circuit.",1
8,Missing creditworthy ideas,CCE,Secondary 2,Explain how individuals can protect themselves from cybersecurity threats.,7,"(1 mark): Individuals can set up [strong passwords] to strengthen their online security.
 (1 mark): These passwords should be [changed regularly].
 (1 mark): These passwords should not be made up of common words / have personal information.
 (1 mark): This is so that other people would not be able to easily guess their passwords and hack into their accounts.
 (1 mark): Individuals can also install firewalls / anti-virus programs.
 (1 mark): Firewalls / anti-virus programs can protect their computers against malware / spyware.
 (1 mark): Individuals should not click on any links from [suspicious source] / [unknown sources].
 (1 mark): Clicking on unverified links may result in them downloading malware and giving hackers access to their devices.", ,Individuals can set up strong passwords to strengthen their online security. These passwords should be changed regularly and should not be made up of common words or personal information.,3
9,Misconception,Biology,Secondary 3,Explain the changes in blood glucose level at 9am.,3,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.", ,"There was too much glucose in the blood after consumption of breakfast, causing islets of Langerhans to be produced by the pancreas that secrete insulin. The liver then converts glucose into glucagon for storage and the blood glucose level decreases.",2
10,Language: EL to CL,Biology,Secondary 3,Explain the changes in blood glucose level at 9am.,3,"(1 mark): At 9am, the concentration of glucose in the blood was high, causing the islets of Langerhans to secrete insulin. (1 mark): Insulin stimulates the liver to convert excess glucose into glycogen, (1 mark): causing the blood glucose level to decrease.", ,早餐摄入后血液中葡萄糖过多，导致胰腺产生分泌胰岛素的胰岛。然后肝脏将葡萄糖转化为胰高血糖素 进行储存，血糖水平随之降低。,0
